iter	Passed	Remaining
693	203418	89691
694	203608	89353
695	203771	89003
696	204076	88716
697	204266	88379
698	204534	88075
699	204721	87737
700	204890	87392
701	205047	87042
702	205247	86711
703	205413	86367
704	205570	86018
705	205732	85673
706	205892	85327
707	206089	84997
708	206248	84651
709	206418	84311
710	206563	83961
711	206690	83605
712	206811	83246
713	206936	82890
714	207085	82544
715	207212	82190
716	207352	81842
717	207486	81491
718	207671	81162
719	207837	80825
720	207979	80480
721	208094	80124
722	208240	79782
723	208385	79439
724	208544	79103
725	208695	78763
726	208847	78425
727	208994	78085
728	209134	77744
729	209289	77408
730	209445	77073
731	209603	76740
732	209773	76411
733	209926	76077
734	210061	75736
735	210248	75415
736	210440	75096
737	210586	74761
738	210729	74425
739	210868	74088
740	210992	73747
741	211156	73420
742	211296	73086
743	211446	72755
744	211622	72434
745	211770	72104
746	211918	71774
747	212068	71445
748	212269	71134
749	212410	70803
750	212758	70541
751	213091	70274
752	213344	69981
753	213743	69735
754	213892	69408
755	214068	69090
756	214201	68759
757	214384	68444
758	214545	68123
759	214692	67797
760	214857	67478
761	215045	67166
762	215227	66853
763	215383	66532
764	215723	66267
765	215872	65945
766	216028	65625
767	216216	65315
768	216371	64995
769	216520	64674
770	216664	64353
771	216831	64038
772	216981	63718
773	217155	63407
774	217319	63092
775	217473	62775
776	217637	62462
777	217767	62139
778	217906	61819
779	218050	61501
780	218232	61194
781	218409	60886
782	218702	60611
783	218953	60323
784	219407	60092
785	219667	59807
786	219814	59492
787	219968	59179
788	220175	58880
789	220337	58570
790	220462	58251
791	220586	57931
792	220742	57621
793	220899	57311
794	221065	57004
795	221360	56730
796	221492	56415
797	221657	56108
798	222121	55877
799	222433	55608
800	222713	55330
801	222863	55021
802	222979	54703
803	223249	54423
804	223399	54115
805	223588	53816
806	223752	53512
807	223966	53219
808	224190	52930
809	224376	52631
810	224546	52329
811	224688	52021
812	224833	51714
813	225017	51416
814	225200	51119
815	225346	50813
816	225523	50514
817	225678	50212
818	225815	49905
819	225982	49605
820	226115	49299
821	226296	49003
822	226465	48705
823	226675	48416
824	227019	48155
825	227447	47912
826	227633	47618
827	227779	47316
828	227917	47013
829	228077	46714
830	228435	46456
831	228596	46158
832	228744	45858
833	228915	45563
834	229036	45258
835	229250	44972
836	229404	44674
837	229546	44375
838	229706	44079
839	229845	43780
840	230019	43487
841	230168	43190
842	230346	42899
843	230536	42610
844	230692	42316
845	230822	42017
846	230991	41725
847	231149	41432
848	231314	41140
849	231451	40844
850	231604	40551
851	231785	40263
852	231940	39971
853	232078	39676
854	232241	39385
855	232377	39091
856	232581	38808
857	232782	38525
858	232928	38233
859	233112	37948
860	233279	37660
861	233428	37370
862	233640	37090
863	233796	36801
864	233952	36512
865	234075	36219
866	234242	35933
867	234409	35647
868	234589	35363
869	234740	35076
870	234859	34783
871	235029	34499
872	235235	34221
873	235393	33935
874	235554	33650
875	235730	33368
876	235908	33086
877	236067	32802
878	236201	32514
879	236444	32242
880	236789	31984
881	237099	31720
882	237407	31457
883	237706	31192
884	238085	30937
885	238272	30658
886	238424	30374
887	238602	30094
888	238867	29824
889	239036	29543
890	239461	29294
891	239630	29013
892	239794	28732
893	239953	28450
894	240132	28171
895	240451	27909
896	240707	27639
897	240823	27354
898	240997	27075
899	241165	26796
900	241314	26515
901	241462	26234
902	241631	25956
903	241853	25683
904	241984	25401
905	242106	25119
906	242307	24845
907	242902	24611
908	243198	24346
909	243392	24071
910	243545	23793
911	243657	23510
912	243810	23232
913	243928	22951
914	244099	22675
915	244301	22403
916	244615	22140
917	245018	21886
918	245241	21615
919	245393	21338
920	245666	21072
921	245869	20800
922	246093	20530
923	246349	20262
924	246710	20003
925	246885	19729
926	247082	19457
927	247400	19194
928	247830	18940
929	248024	18668
930	248767	18437
931	249273	18187
932	249902	17945
933	250182	17678
934	250570	17419
935	250817	17149
936	251082	16881
937	251415	16618
938	251721	16352
939	251890	16078
940	252164	15810
941	252347	15537
942	252511	15263
943	252696	14990
944	252883	14718
945	253045	14444
946	253234	14172
947	253392	13899
948	253591	13628
949	253807	13358
950	254067	13090
951	254218	12817
952	254406	12546
953	254553	12274
954	254689	12001
